5.000000e-001     8.90e+001   4.44e+001
2.500000e-001     8.85e+001   4.41e+001
1.250000e-001     8.39e+001   4.39e+001
6.250000e-002     7.94e+001   4.63e+001
3.130000e-002     8.18e+001   5.05e+001
1.600000e-002     9.32e+001   5.42e+001
000512     9.67e+001   4.59e+001
000256     9.55e+001   4.52e+001
000128     9.54e+001   4.53e+001
000064     9.87e+001   4.49e+001
000032     9.96e+001   4.26e+001
000016     9.23e+001   3.99e+001
000008     8.17e+001   3.88e+001
000004     7.27e+001   3.90e+001
000002     6.64e+001   3.95e+001
000001     6.09e+001   3.98e+001
5.000000e-001     5.62e+001   4.07e+001
2.500000e-001     5.32e+001   4.13e+001
1.250000e-001     4.88e+001   4.18e+001
6.250000e-002     4.50e+001   4.47e+001
3.130000e-002     4.55e+001   4.93e+001
1.600000e-002     5.12e+001   5.34e+001
000512     9.67e+001   4.58e+001
000256     9.52e+001   4.52e+001
000128     9.59e+001   4.57e+001
000064     1.03e+002   4.46e+001
000032     1.03e+002   4.01e+001
000016     8.95e+001   3.55e+001
000008     7.22e+001   3.31e+001
000004     5.77e+001   3.25e+001
000002     4.69e+001   3.27e+001
000001     3.80e+001   3.37e+001
5.000000e-001     3.18e+001   3.60e+001
2.500000e-001     2.85e+001   3.81e+001
1.250000e-001     2.53e+001   3.99e+001
6.250000e-002     2.29e+001   4.37e+001
3.130000e-002     2.32e+001   4.89e+001
1.600000e-002     2.61e+001   5.32e+001
000512     9.67e+001   4.59e+001
000256     9.55e+001   4.52e+001
000128     9.54e+001   4.53e+001
000064     9.87e+001   4.49e+001
000032     9.96e+001   4.26e+001
000016     9.23e+001   3.99e+001
000008     8.17e+001   3.88e+001
000004     7.29e+001   3.89e+001
000002     6.56e+001   3.92e+001
000001     5.87e+001   4.05e+001
5.000000e-001     5.54e+001   4.32e+001
2.500000e-001     5.62e+001   4.48e+001
1.250000e-001     5.50e+001   4.57e+001
6.250000e-002     5.43e+001   4.89e+001
3.130000e-002     5.96e+001   5.31e+001
